track,1,e+,1,57,-5.669201,5.662605,-4071.227489,13.105 ns ,24.5483 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,58,-5.859689,5.819368,-4010.000000,13.3093 ns ,11.22 keV,Transportation,0.054341,0.000000,997.808455
track,1,e+,1,59,-5.890759,5.845144,-4000.100000,13.3423 ns ,2.69348 keV,Transportation,0.054341,0.000000,997.808455
track,1,e+,1,60,-5.891411,5.845684,-3999.900000,13.3429 ns ,0 eV ,Transportation,0.054341,0.000000,997.808455
track,1,e+,1,61,-5.923557,5.872428,-3990.000000,13.376 ns ,3.53506 keV,Transportation,0.054341,0.000000,997.808455
track,1,e+,1,62,-6.075163,5.993659,-3944.099661,13.5291 ns ,9.32828 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,63,-6.941033,6.677883,-3694.167683,14.3628 ns ,52.892 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,64,-7.134038,6.832516,-3640.488228,14.5418 ns ,11.5158 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,65,-7.300807,6.963365,-3594.998749,14.6936 ns ,6.56728 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,66,-7.401981,7.050031,-3566.319611,14.7892 ns ,4.8711 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,67,-7.728603,7.316456,-3473.754174,15.098 ns ,18.5499 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,68,-7.883999,7.414326,-3433.195281,15.2333 ns ,9.07891 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,69,-8.225638,7.631040,-3343.396791,15.5328 ns ,16.4193 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,70,-9.051838,8.198708,-3124.692802,16.2624 ns ,42.8091 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,71,-9.151664,8.274256,-3097.678220,16.3525 ns ,4.76168 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,72,-9.574256,8.585734,-2982.501250,16.7367 ns ,25.9325 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,73,-9.742218,8.729122,-2933.608950,16.8997 ns ,8.9185 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,74,-9.873961,8.843684,-2894.094937,17.0316 ns ,5.92047 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,75,-10.280855,9.194570,-2775.578453,17.4269 ns ,23.8858 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,76,-10.895886,9.779470,-2577.079805,18.089 ns ,32.8538 keV,eIoni,0.054341,0.000000,997.808455
